# symbol	probability
'\n'	0.0176211454
' '	0.1189427313
'.'	0.0176211454
'H'	0.0088105727
'I'	0.0044052863
'T'	0.0044052863
'a'	0.0484581498
'b'	0.0044052863
'c'	0.0484581498
'd'	0.0484581498
'e'	0.0660792952
'f'	0.0352422907
'g'	0.0220264317
'h'	0.0220264317
'i'	0.0704845815
'j'	0.0044052863
'l'	0.0176211454
'm'	0.0308370044
'n'	0.0792951542
'o'	0.1013215859
'p'	0.0176211454
'q'	0.0044052863
'r'	0.0572687225
's'	0.0440528634
't'	0.0616740088
'u'	0.0176211454
'v'	0.0044052863
'w'	0.0044052863
'x'	0.0044052863
'y'	0.0132158590
